Yazar,Tarih,Baslik,Sikayet,Kaynak
mrtksn,31.08.2009 21:06 ~ 21:16,IKEA Genel,"ücretsiz benzinden ve bedavaya çalışan şoförden,ustalardan ikea neden faydalanmıyor anlamıyorum anlam veremiyorum ve veremeyeceğim ihtimalini vermek de istemiyorum. sonra 2000 liralık mal oluyor sana 2140 lira. oysa ki gidip normal mobilyacıdan 2140 liralık mal alsan evine bedavaya gelecek bedavaya kurulacak.

pazarlama hileleri bunlar sakın yemeyin! ikea bu işten kar ediyor, gidin hayrına çalışan esnaftan alın ne alacaksanız.

şartlar belli mal belli fiyat belli kim neden kazık yiyor, ikea kime neyi zorla aldırıyor bilmiyorum ama belli ki ortalıkta pis işler dönüyor, bilgilendireyim dedim, bu da benim sana kıyağım olsun.",Ekşi Sözlük
mea maxima culpa,02.09.2009 16:43 ~ 16:45,IKEA Genel,"dün akşamüstü kapıma 2010 kataloğunu bir poşet içinde bırakmışlar. bu nasıl bir kurum, nasıl bir kurumsallık anlamadım. bunlar nasıl sorumlular, nasıl çağdışı ve geri kafalı idareciler kardeşim? koskoca ekşi sözlük çarşaf çarşaf yazıyor ikea kapanıyor diye; ama bu dünyadan habersiz idareciler tutup 2010 için katalog bastırıp, bir de evlere dağıtıyorlar.

yani şimdi sorarım size bu ikea batmasındı da nolsundu? bi tane yetkilisi, sorumlusu sözlük okusa bu başlarına gelmeyecekti. ama bak burdan söylüyorum. zararın neresinden dönülse kardır. madem iflas ettiniz, battınız. dağıtmayın şu katalogları. bak sonra işyerinden eve döncek otobüs paranız bile kalmayacak.

ya da şöyle yapabilirsiniz: kataloglardan bizim eve 3-5 tane bırakın. niye kataloga bakmak için kavga ettiriyorsunuz ev ahalisini anlamadım. herkese özel katalog devrini başlatın. ben kataloğumu kimse ile paylaşmak istemiyorum. aklıma bişi deliyor. dönüp dönüp bakmak istiyorum. kardeşim vermiyor kataloğu...

bi de alışveriş yapıp da mutfak terazisi, ayakkabı dolabı alacağımdan değil. seviyorum resimlerine bakmayı.",Ekşi Sözlük
negatif pollyanna,02.09.2009 20:57,IKEA Genel,"bugün bayrampaşa mağazasını karış karış gezdim ve en alt katta yer alan stokları gördüğümde de kapanmayacağına karar verdiğim mobilya devi. en azından bu eylül sonunda, hatta yıl sonunda kapanmayacağı kesindir. o kadar malı yakamayacaklarına göre, başka bir yere taşımanın maliyeti de tüy dikmeye tekabül edeceğine göre, ikea daha uzun bir süre türkiye'de kalacaktır. ayrıca, kapanacak mı diye sorduğum birkaç personel ise böyle bir durumdan haberdar olmadıklarını söylediler.",Ekşi Sözlük
paganini,03.09.2009 22:00,IKEA Genel,"2010 kataloğundaki bıçak setleri, tencere tava ve mutfak setleri, saklama kapları ve sofra malzemeleri ile insanda karşı konulamaz bir kendi evinde yaşama isteği uyandıran mağaza. kendi malzemelerimle kendi yemeğimi yapmak mıymış olayım anlamadım ki.*",Ekşi Sözlük
vital,03.09.2009 22:05,IKEA Genel,"katalogu da çıkmış, reklam çekimi için hazırlıklara da başlamış olan evimizin herşeyi.. yani daha kepenk indirmiyorlar.",Ekşi Sözlük
barbaristaniac,03.09.2009 22:19,IKEA Genel,"büyük boy legolarla oynamak, oyun bitince de legoları mobilya olarak kullanmak isteyenlerin firması.",Ekşi Sözlük
1001gecemasallariyla1002gece,03.09.2009 22:32,IKEA Genel,"kapanacak, kapaniyor diyenlere sanirim yeni web sitesiyle verdikleri cevabi yetersiz bulup bir de yakinda ikea aile kart isminde; kullandikca puan toplamimiza, indirim kazanmamiza vs yaracak bir kart cikartmaya karar vermislerdir.

http://aile.ikea.com.tr/",Ekşi Sözlük
guybrush threepwood,05.09.2009 11:15,IKEA Genel,ne alırsan 300 milyoncu.,Ekşi Sözlük
red sonja,05.09.2009 11:21,IKEA Genel,koçtaş'la kıyaslanınca * sanıldığı kadar uucuz değil.,Ekşi Sözlük
joel,05.09.2009 11:25 ~ 18:01,IKEA Genel,"alakasız belki ama, çok güzel sucuk yapan herşeyci. böyle de bi yer arkadaş, hiçbirşey almayacak olsan bile git kahvaltı et haftasonu. mis.",Ekşi Sözlük
zyklus,06.09.2009 21:50,IKEA Genel,"50 krş'lık vidanın hesabını yapan şirkettir.
dolap kapağının menteşesini monte etmek için yaklaşık 2 haftasonudur tam mesai yapiyorum.
henüz muvaffak olamadım.
sağolsunlar, vidalarını koymamışlar.
gittiğim nalburlarda da uygun vida bulamıyorum.
zira, dünyanın en fantastik vidasını kullanmak gerekiyor.
umarım o vidalardan ettiğin 50 krş'luk karla, isveç'e tek yön bilet alırsın.",Ekşi Sözlük
shep,07.09.2009 11:54,IKEA Genel,çalışanlarından alınan bilgiye göre kesinlikle kapanması söz konusu değildir.,Ekşi Sözlük
anabasis,07.09.2009 12:00,IKEA Genel,"10 senelik anlaşmayla gelmiş mağazadır, yani 2014'ten önce kapanmaz.",Ekşi Sözlük
tensipzapti,07.09.2009 16:31 ~ 20:23,IKEA Genel,"bir masa dört sandelyeyi 300 liraya satan mobilya mağazası. fiyat nispeten ucuz, malzeme kaliteli ve sağlam. herşey iyi hoş da, şu montaj süreci anlatılan kadar kolay değil. bi tornavida ile falan olacak iş değil. zira, yeteri kadar büyük açılmamış vida oyuklarına kol gücüyle vidaları yerleştirmek imkansız. mahalledeki marangozdan vida matkabını ödünç almasaydım montajı yapmam mümkün değildi. alış-veriş esnasında görevli tarafından söylenen; '' aman efendim 60 yaşındaki kadınlar bile bunu monte edebiliyor'' gibi saçma sapan sözlere kulak asmamak lazım. onun dışında bi sorunu yok.",Ekşi Sözlük
sir gawain,07.09.2009 16:35,IKEA Genel,"yeni sezonu başladı, zam geldi. 105 liraya geçen hafta burun kıvırıp almayı ertelediğimiz komodinin aynısı bir günde oldu mu sana 160 lira. ama alacaktık biz onu. yaktın bizi ikea..",Ekşi Sözlük
sutlu nescafe,09.09.2009 19:17,IKEA Genel,http://dl.ziza.ru/…09/09/pics/photopodborka_037.jpg,Ekşi Sözlük
kolin kazim,10.09.2009 08:52,IKEA Genel,"adamlar söyle yatırdık kamyona 1.000 tane fazla sığdırdık, böyle kutuladık şu kadar kar ettik, bunları yaparkende dünyaya kötü gazların salınımını önledik, biz taşımayız, kurmayız maliyetlerimizde düşerin hesabını yaparken herkesin kapısına yeni katalogu asmışlar, her maliyetten kaçınırım reklamdan kaçınmam diyorlar herhalde.
yalnız ev halkını bu taşıma ve montaj işinden bezdiren ikeeeaaaa ömrümüzün törpüsü şarkılarını söyleten, gitcem istikpalden pellonadan alcam adamlar taşıyo, gelip kuruyo diye isyana getiren firmadır kendisi.",Ekşi Sözlük
s7evin,10.09.2009 22:49,IKEA Genel,"televizyon reklamlarıyla iskandinav havası estiren firma. hakikaten reklamların bir iskandinav filminden farkı yok. renkler, yarattığı doku, yapılan cast.

yapılanı alıp türkçe dublaj yaptıysak konuşmaya değmez ama bu memleket sathında yapıldıysa tebrik ediyorum yapan tayfayı. olmuş bu.",Ekşi Sözlük
narroth,10.09.2009 23:06,IKEA Genel,"bi sürü kapanmama alameti göstererek sözlüğü üzen firma
kapan be ikeam git ülkene be

(bkz: komşulara karşı çok ayıp oldu)",Ekşi Sözlük
lacrima sedef,11.09.2009 09:54 ~ 10:04,IKEA Genel,"kataloğu sayesinde, basılı yayıncılıkta dünya çapında 3. sırada yerini almış firma. incil ve harry potter dan sonra dünyada en çok basılan şey ikea kataloğuymuş*... ayrıca firma söz konusu kataloğun yarım asırlık geçmişi boyunca kullandığı yazı karakteri* olan futura' yı değiştirip verdana' ya geçmiş. var bir farklılık diyordum ama bir türlü çözemiyordum, demek buymuş.

http://www.idsgn.org/…/ikea-says-goodbye-to-futura/",Ekşi Sözlük
behindthedoors,11.09.2009 10:29 ~ 10:30,IKEA Genel,"kataloğunu tamamlamak için 260 kişinin aylarca debelendiği yapı marketi.. 2010 yılı kataloğunun tanıtımı için ise ilginç bir tanıtım yöntemi izlemekteler. yoğun olan bazı avm lerde katalog kapağında yer alan salonu kuracak ve insanların o odada fotoğrafını çekeceklermiş. eee nedir derseniz, çektikleri fotoğraflar kılıf haline getiriliyor ve kataloğun kapağına siz oturtuluyorsunuz. budur.",Ekşi Sözlük
coolspot,12.09.2009 17:42,IKEA Genel,"kataloglarında futura'dan verdana'ya geçiş yapmışlar. sen nerdeyse 100 yıllık geçmişi olan, bauhaus ekolünden asil bir typeface'i bırak git microsoft'un işletim sistemlerine default olarak eklemek için geliştirdiği typeface'i kullanmaya başla. olacak iş değil gerçekten, kataloglarda comic sans ms kullanacakları gün yakındır.",Ekşi Sözlük
darius,13.09.2009 02:33,IKEA Genel,"magaza icinde de verdana kullanmaya baslamis sirket.

iyi misin ikea ya, iyi tasarim satiyoruz diyip verdana etiket basmak urunlere!?",Ekşi Sözlük
butcherfly,13.09.2009 02:59,IKEA Genel,"ailemin yenilemek istediği salon mobilyalarını normal bir mobilyacıya göre dörtte birine kapattığım mağaza. ayrıca nedenini anlamadığım, sanırım bu sene moda olan, salak deri kolluklu oturma gruplarından almaktan da kurtulmuş olduk. dayanıklılığı konusunda ise sonra not düşerim buraya.",Ekşi Sözlük
zynp,14.09.2009 19:55,IKEA Genel,"pazar günleri çok kalabalık olan yer. veletleri seven yapım oraya gidince erozyona uğradı ayrıca. iki adım atınca oraya buraya uçan şımarık sübyanlarla karşılaştım. işim,gücüm olmasa asla uğramayacağım bundan sonra.evet onlara da çok fifi)ayrıca o sınırsız içecek yerine damacanayı dayayıp doldurmaya başlayınca nasıl tepki vereceklerini çok merak ediyorum.",Ekşi Sözlük
isleten adam,14.09.2009 23:22,IKEA Genel,bir vakitler hazira alistirilan insanogluna 'bak bu da hazir ama evde kendin birlestiriyosun' mesaji vermeye calisiyor bence. eve gelip kurulum yapan ekipleri var midir bilmiyorum fakat iyi is cikariyorlar turkiye'de. en azindan yeni evlenen her ciftin ikea'dan biseyler alma mecburiyeti var artik.,Ekşi Sözlük
silversideup87,25.09.2009 18:00,IKEA Genel,"iznik kültür eğitim araştırma.

http://www.iznik.biz/

evet, biraz garip.",Ekşi Sözlük
union of disjoint intervals,04.10.2009 11:45,IKEA Genel,"gardroptaki kulpların bile ayrıca satıldığı yerdir.bir de mobilyaların çoğu kağıt gibi ve herkes ucuz dese de bildiğin pahalı yahu.3 tane tahtaya 350 lira istiyolar.görüntü süper ama mobilya konusunda alışveriş yapmayacağım bir yer.
aksesuarlara can kurban,o ayrı.",Ekşi Sözlük
arachnid,10.10.2009 23:25 ~ 23:28,IKEA Genel,"aldığın ürünü kendin monte et stratejisinin altında yatan şey sadece daha ucuza ürün sunma çabası değil aynı zamanda erkek psikolojisinin ta kendisidir. aldığı ürünü kendisi monte eden erkeklerin çoğu monte ettikleri ürünü sahiplenip bir şey yaptıklarını zanneder, kendilerini önemli hissederler.",Ekşi Sözlük
gyne,20.10.2009 13:17 ~ 26.10.2009 14:31,IKEA Genel,"çocuklar için çok güzel mama sandalyeleri var. beyaz plastik olanlar değil. ahşap, bar sandalyeleri gibi yüksek bacaklı, yemek masasına rahat ulaşmalarını sağlayan sandalyeler. ilginç ama bu sandalyeler ikea'nın web sitesinde ve katalogunda yoklar.

edit: son reklamında yine mi bamya diyen çocuğun oturduğu sandalye mesela.",Ekşi Sözlük
s7evin,21.10.2009 00:20,IKEA Genel,"son reklamı çok şirin bunların. hele o ""yine mi bamya"" diyen veledi yemek istiyorum bamya niyetine.

http://www.youtube.com/watch?v=iqdzn1qv4fe",Ekşi Sözlük
memomika,21.10.2009 00:51,IKEA Genel,ne zaman bir reklamını ya da kataloğunu görsem aklıma henüz evrimini tamamlamamış zavallı tyler durden geliyor.,Ekşi Sözlük
tanrei,22.10.2009 10:04,IKEA Genel,ne yapsa bamyayı sevdiremez.,Ekşi Sözlük
ugurcan,22.10.2009 10:21,IKEA Genel,"kadinlarin gozlerini dondurmesi ozelligi nedeniyle, bir kadin ile alisveris yapmaya gitmek finansal olarak intihara sebep olacak alisveris merkezi. (bkz: ne dedim ben)",Ekşi Sözlük
harro,25.10.2009 14:25 ~ 14:58,IKEA Genel,"gustav olsen bizler için sandalye tasarlıyor, ben de koşa koşa gidip satın alıyordum. içinde å, ä, ö, ø harfleri barındırıp büyük ünlü uyumunu hiçe sayan yorgan ve battaniyelerim, sırf güzel kokusuna, minyon görünümlerine vurulup kullanmayacağımı bile bile 5 liraya satın aldığım 42'li mumlarım vardı. masko'nun, modoko'nun veya avcılar e-5 kenarındaki mobilyacı dükkanlarının evimin içinde yaratamayacağı minimal ve 'modern gibi' atmosferi ikea ile oluşturmaya çabalıyordum.
gel gör ki içten içe de kıllanmaya başlamıştım. minimalitenin ve sadeliğin geniş kitlelerin hayatına bu denli derinlemesine sirayet etmesiyle farklılaşmıyor, sadeleştiğimizi düşünürken tekdüzeleşiyorduk. değişim estetik olanla başlamıyormuş sanırım; değişimin nihai olarak sonlanacağı yer estetik olmalıymış. evlerimiz bir doğu alman banliyösü veya kieslowski varşovası'ndan bir dekora dönüştükçe biz de farklı bir insan olarak başlamıyorduk güne, sadece aynılaşıyorduk, ortak paydamız ikea mobilyası oluyordu. odanın ortasında bir dizayn harikası olarak duran sehpada yine çekirdek kabuklarından yükseltiler, mandalina kabuğunda söndürülmüş sigara bulunduran kül tablası vardı; duvar kenarındaki varlığıyla, renklerinin canlılığıyla içimizi ısıtan kitaplıklı dolapta isveççe edebiyat klasikleri değil, şampiyonlar ligi kuponuyla 1'e 68 vadeden geçen salı gününün fotomaç iddaa eki duruyordu. böyle bu, değiştiğimizi sanarken sıradanlaşmak, sadeleştiğimizi sanarken aynılaşmak. böyleyiz biz galiba.

böyle düşünen tek ben değilim sanırım. bugünkü sabah'ta ile yapılmış röportajdan modernite ve tüketim dünyası bağlamında mühendisliği neden bırakmış olduğunu şu satırlardan anlamak mümkün:

""yalan kültürlerle özgür olduğunu zannediyor insanlar. evine ikea aldığında mutlu oluyor. devlet verse ona karşı gelir. komünist sistem gibi herkesin evinde ikea var. sistem satışı engellemediği sürece senin her şeyi yapmana izin veriyor. liberallik o. satış hayatı en çok engelleyen şey. o şey satılacaksa sen ahlaksızlık da yapacaksın, her şeyi yapacaksın. mühendisliği de öyle bıraktım. her gün takım elbise giymek kürt açılımından daha büyük bir sorun bence. eskiden 16 saatmiş çalışma saati. solcuların ayaklanmalarıyla sekiz saate iniyor. bertrand russell, 'dört saat' diyor. artı değer diye bir sorun var. marx'ın tek derdi o. halay malay, kekik kokulu dağlar değil. hayatından çalınan dört saati nasıl geri alabileceksin?""



acıktım bu arada, çıkıp bi isveç köftesi atayım lan, içecek de beleş, mis.",Ekşi Sözlük
rdx,30.10.2009 20:04,IKEA Genel,"son reklamının yıldızı kesinlikle yine mi bamya çocuğu değildir, hayır... sitemkar şekilde disko mu ulan burası?! şeklinde oğluna seslenen babadır...",Ekşi Sözlük
740,30.10.2009 20:07,IKEA Genel,önümüzdeki bir kaç yıl içerisinde beylikdüzüne mağaza açacağını hissettiğim evinizin herşeyi şeysi.,Ekşi Sözlük
su nanesi,31.10.2009 17:47,IKEA Genel,"449 tl'ye koldby marka hakiki inek postu satan yer! hayvanları bir de böyle sömürelim dediler herhalde, hayvan hakları savunucuları neden bir şey demiyor merak ediyorum...",Ekşi Sözlük
oyle birsey yok,02.11.2009 01:01 ~ 03.03.2010 02:52,IKEA Genel,"türkiye'de ürünleri kaliteli olarak bilinse de, isveç'te -yani kendi ülkesinde- en kalitesiz marka olarak kabul ediliyor. ama istisnasız isveç halkının hepsinin -ama hepsinin- alışveriş için ilk durak noktası ve evlerinde muhakkak ikea'dan birşeyler var. çünkü aynı zamanda en ucuz. tasarımlar her yerde süper, isveçlilere o konuda hayranım, ama diğer yerlerde bir tane üç kişilik koltuk bile ortalama 2300 tl civarında olunca, insanlar buraya üşüşüyor doğal olarak.

stockholm- kungens kurvaleden'deki ikea ise akıllara zarar, 5 katlı mı ne, devasa birşey, içinde kaybolup zevkten çıldırıyorsun.. bence stockholm'de görülmesi gereken 10 yerden biridir. o kadar.",Ekşi Sözlük
tadukhepa,02.11.2009 01:21,IKEA Genel,yerdeki ok işaretleri sizi tüm binayı gezmeye zorluyormuş gibi gözükse de her zaman kestirme bir çıkış yolu mevcut aslında. bu ümraniye'de de böyle bayrampaşa'da da hatta izmir'de de böyle. (bkz: ikeayı ezberlemek),Ekşi Sözlük
pluchart,02.11.2009 01:30,IKEA Genel,"en son gittiğimde ne almak istesem ""elimizde kalmadı"" cevabı vererek beni çıldırtmayı başarmış yerdir.. karyola yok, halı yok, banyo dolabı yok.. çok mu satıyorsunuz dedim.. hayır aksine az sattığımız için böyle oluyor dediler.. resmen beğendiğim banyo dolabından son parti siparişte sadece 3 tane istemişler.. öyle arayıp bulduğum bir şey de değil ha.. katalogtan beğendiğim 2-3 büyük boy banyo dolabından biri.. bare bütün evlere dağıttığınız kataloglardaki ürünleri biraz stoklayın.. 3 tane nedir kardeşim.. üç..",Ekşi Sözlük
daldurdap,02.11.2009 16:34 ~ 17:30,IKEA Genel,"dar alanı dayama ve döşeme becerilerinden sonra bi minder, bi sandalyeyi sığdıracak yer bulamayan bendenizi, kerizi çok yıprattılar. ""lan bu pantalonu nereye goyucam ben"" de demişliğim vardır, diksiyonum temiz değilken ki düşün sen gerisini.",Ekşi Sözlük
mr lucky,02.11.2009 16:47 ~ 17:40,IKEA Genel,başarılı iskandinav firmaları gibi ürün yönetimini gayet iyi yaparlar. (bkz: ericsson),Ekşi Sözlük
xwayz,02.11.2009 16:58,IKEA Genel,kağıttan sehpa yapıp satan süper ötesi mağazalar zinciri..,Ekşi Sözlük
kokomichu,02.11.2009 17:08,IKEA Genel,"markasının pozisyonu, rakiplerine göre aynı kaliteyi daha ucuza sunması, veya başka bir açıdan aynı fiyata daha kaliteli ürün sunmasıdır. dünya çapında da bu böyledir, aynı zara gibi.",Ekşi Sözlük
dreamkeeper,02.11.2009 17:24,IKEA Genel,çayır çimen zirvelerinin hayat kurtaran donanımı olan şezlongumu 10 liraya aldığım süper market. mobilyalarının pahalılığına birşey diyemem ama çözümleri çok değerli.,Ekşi Sözlük
tamam beya,02.11.2009 17:29,IKEA Genel,hakkında kapanacak söylentileri bile çıkmışken hemen yanına açılan forum istanbul ve diğer awm'ler sayesinde küllerinden doğacak ve gördüğümüz kadarıyla oldukça popülerleşecek şirket.,Ekşi Sözlük
amelie poulain,16.11.2009 00:28,IKEA Genel,"insanların kafile şeklinde ziyaret ederek, manzara seyreder gibi ürünlerine bakmaktan vazgeçemediği mağaza. amacı eşya satın almak olmadığı halde grup halinde mobilya mağazasında dolaşmaktan zevk alan insanlar, bunu en azından pazar günü eğlencesi haline getirmeseniz, biz de alışverişimizi yapabilsek. başka çözüm yoksa en azından biraz hızlı yürüyün.",Ekşi Sözlük
vorfreude,23.11.2009 19:04,IKEA Genel,"i - inanılmaz
k- kötü
e- ev
a- aksesuarları",Ekşi Sözlük
beestar,24.11.2009 00:10,IKEA Genel,"taaa ankarada yeni kurduğumuz evimize bile yetişen, her istanbul, izmir seyahatimde uğrayip bişiler aldığım, evimize gelen birinin ""aa ankarada ikea var mı"" diyebeleceği kadarçok şeyisini evimizde barındırdığımız, evimizin herbişeyisi süpertükan.",Ekşi Sözlük
odesu,27.11.2009 17:19 ~ 25.01.2010 22:46,IKEA Genel,"bir dekorasyon dergisinin içinde önce-sonra adı verilen bir bölüm hazırlayan self servis mobilya mağazası. evinizde salon, oturma odası, yatak odasının fotoğrafını çekip dergiye gönderiyorsunuz. eğer ikea sizi seçerse, eşya getirip o bölümü yeniden dekore ediyor. sonra da fotoğrafları çekilerek dergide yayımlanıyor ve neler yapıldığı anlatılıyor. getirilen eşyalar iyi mi? hayır, mağazanın en ucuzu. mümkün olduğu kadar kalitesiz olanlar tercih ediliyor. çok yavaş çalışılıyor, tek bir oda yapılmasına karşın evin altı üstüne geliyor, koltuk getirmiyorlar, kütüphane yerine raf monte ediyorlar. kısaca eskisinden kötü oluyor.",Ekşi Sözlük
kizil sakal,15.12.2009 00:30 ~ 03:38,IKEA Genel,ürün satarken zeka ve yetenek testi yapması gereken firma. öyle bütün odunları bi pakete doldurup kotuğumuzun altına vermekle olmuyor o işler. son aldığım malı bir araya getirmek için tam 2 saat uğraştım. altı üstü dört bacaklı bir sehpaydı lan. üretiyorsun bari takip et. yok sana demedim allahım.,Ekşi Sözlük
bunyaminbutton,15.12.2009 01:15 ~ 03.01.2011 23:55,IKEA Genel,"ev dekorasyonumun %90ına sahip olan isveç kökenli şirket
yemek reyonu apayrı güzeldir.
ayrıca bende hep büyükler için yapboz satan dükkan algısını oluşturdu.",Ekşi Sözlük
billyboyd,15.12.2009 01:23 ~ 01:24,IKEA Genel,"izmir forum bornovada bayramin 4. gunu aksam yemek yemek uzere gittigimiz, yillardir restoran bolumunu begenmis olmama ragmen artik gitmemeyi dusunmeme sebep olan yer. etraf zaten hincahinc dolu, insanlarin asagi inip disari cikmak icin tek yollari olan asansor bozuluyor. (ya da bozuldu mu bilemiyorum, sadece onune bir bant cekmisler iceri almiyorlardi, iyi niyetimle bozulmus kabul ediyorum sayet eger etraftaki cogu insanin soylenerek ifade ettigi gibi bir satis taktigi idiyse bu, o zaman artik diyecek hic sozum kalmiyor) bu sebeple aksam aksam yemek yiyip cikmak icin gelmis insanlar, giriste de bir bilgilendirme bulunmaksizin kuzu kuzu iceri girdiklerinden. koskoca ikea yi 20 dakika dolasip anca cikabiliyor malesef. asansor bozulabilir bir sey demiyorum ama sorarim sana ikea girise asansor bozuktur seklinde bir tabela koymak cok mu zordu? sinemaya yetisemedik ya! ikea odesin dursun izleyemedigimiz filmin hakkini, onca insanin kaybettigi zamani..",Ekşi Sözlük
naksidil,16.12.2009 17:17 ~ 17:18,IKEA Genel,kutuyu ayrı kapağını ayrı satan mağaza. o onun mütemmim cüzü bi kerem. ayrı ayrı satılamaz. satılmaması lazım.,Ekşi Sözlük
yule,16.12.2009 17:33,IKEA Genel,(bkz: köfte de var),Ekşi Sözlük
shebeq,17.12.2009 23:42 ~ 10.01.2011 11:20,IKEA Genel,"televizyondaki reklam filminin packshot'ında ""evinizin herşeyi"" şeklinde slogan yazan marka.
(bkz: her şey) e ama ayıp biraz türkçe biraz bişii...

edit: düzelttiler neyse ki sonradan. bravaa",Ekşi Sözlük
orchard,29.12.2009 01:12 ~ 29.10.2010 00:32,IKEA Genel,"sahane tasarimlar yaptigi gibi sosyal medya kampanyalari duzenleyen sirkettir.

ikea facebook show room iletisim kampanyasina asagidan ulasabilirsiniz.

http://www.pazarlamakolik.com/…yal-medya-kampanyasi",Ekşi Sözlük
ephirasiyabb,04.01.2010 14:46,IKEA Genel,çıkış kafesinde iki adet hotdog ve tek kişiye sınırsız soğuk içeceği iki liraya satmasıyla şaşkınlık yaratmıştır bir kez daha.,Ekşi Sözlük
afloydian,08.01.2010 04:05,IKEA Genel,"filtre kahvelerinin tadına doyulmadığı marka. o kadar güzel ki, evde french press ile demledikten sonra bir zamanların sadık dostu tchibo africa intense'i hemen sattım valla.",Ekşi Sözlük
msb,08.01.2010 06:47,IKEA Genel,tasarlanmışlığın günümüzde ne kadar makbul bir değer olduğunu gözümüze sokan marka.,Ekşi Sözlük
genia,09.01.2010 23:41,IKEA Genel,bir ankaralı olarak iki sene önce istanbul'daki adını hatırlamadığım bir şubesinden aldığım çalışma masası sandalyesini az önce kırarak şehrimdeki eksikliğini daha fazla hissettiğim isveç harikası.,Ekşi Sözlük
hevipeyra,13.01.2010 20:36,IKEA Genel,"bi yarışma tertip etmişler. ilginç gibi.

http://apartman.ikea.com.tr/",Ekşi Sözlük
halinin ucundaki toz parcasi,13.01.2010 20:57,IKEA Genel,"seramiğin, camın mimarı üreticisi bir ülkede yaşanılıp sonra yurdumun çeşit köşelerindeki ikea mağazalarından cam çerçeve porselen ürün alanlaradır sitemim. aynı ürünü kütahya porselen güral porselen yada bilimum bir dünya seramik cam üreticisi firma senelerden beri gerek outletlerinde olsun gerek satış mağazalarında olsun ikeanın kat kat ucuzuna satıyorlar zaten.nasıl bir meraktır nasıl bir istektir nasıl bir yabancı sermayeye kendimizi dürtüklettirme hevesi nasıl bir yaratıcılıktır anlamak mümkün değil. diğer bir sitemim de mobilya ve benzeri ürün alanlara gelsin tamam adamlar yaratıcı alternatif güzel şeyler üretibiliyorlar ama bu ülkenin ankara mobilyası olsun inegöl mobilyası olsun çok gelişmiş değilmidir çok kullanışlı değil midir sorarım size. üzerine aldığınız ürünler, evinizin baş köşesinde duran sehpa bildiğin sıkıştırılmış talaş ucuz ucuz diye baş tacı etmek yersiz. talaşsız olanlarda zaten türkiyede üretilenin fiyat bakımından kat ve kat pahalısı.ilkokul dönemine tekrar dönüp yerli malı haftasını yad etmeleri dileğimle.",Ekşi Sözlük
killer,16.01.2010 05:20,IKEA Genel,"paketlemesine hasta olduğum. gecenin bu saatinde, koca yatağı sıkılmadan büyük bir zevkle kurdurarak, şahsımı havalara sokmuştur.
vallahi şu saatte kolileyip f-16 getirseler sanki onu da kuracakmışım gibi geliyor.*",Ekşi Sözlük
willow is still blessed,19.01.2010 06:11,IKEA Genel,"ne mobilyalari ne kofteleri, senin en guzel yerin zencefilli biskuvilerin ikea.

gece gece kapucinolu biskuvilere kaldigim icin mutsuzum, bir biskuvi almak icin de ebesininkine gidilmez ki?",Ekşi Sözlük
thesharkisworking,19.01.2010 06:33 ~ 06:38,IKEA Genel,"son aylarda, özellikle bayrampaşa şubesinde aradığımız hiçbir şeyi bulamadığımız, sürekli ""üç - beş hafta sonra gelecek"" yanıtını aldığımız mobilyacı. en kötüsü ise, köftelerin ve sosun lezzetinin bariz bir şekilde kötüleşmesi. ""nasıl yardımcı olabilirim"" diyen personel sayısındaki artış insanı şüpheye düşürüyor; acaba ""türk insanı ilgilenilsin ister. personeli arttırıp diğer yerlerden kısalım"" mı dediler, nedir? hayır; köfteler bariz inegöl'e döndü...

not: arayıp da bulamadıklarımıza bir örnek vereyim. hani şu tavan lambası için ray sistemleri var ya.. abi; rayın kendisi var, fakat lambaya takıp raya geçireceğiniz aparattan yok. yani, o rayın orada satılmasının (yedek parça olmak dışında) hiçbir anlamı yok. üç hafta sonra gümrükten geçecekmiş, öyle dediydiler. valla gittik, güzelinden projemizi çizdik falan, kablo saklama çubuklarından alıp kendi sistemimizi kendimiz yaptık, kız gibi oldu.",Ekşi Sözlük
batis,21.01.2010 23:04,IKEA Genel,ikea song: http://www.atom.com/funny_videos/ikea_song/,Ekşi Sözlük
infinito,23.01.2010 09:35 ~ 09:36,IKEA Genel,"beni alyan anahtarı ve beraberinde gelen özgüven duygusuyla tanıştırmış, ""artık otobüs bile yapabilirim"" hissiyatını yaşatan firma.",Ekşi Sözlük
super fly,23.01.2010 11:01 ~ 29.01.2011 21:56,IKEA Genel,haziran 2011'de ankara'da mağaza açacak isveçli firma.açılış çok büyük olacak çok!ankara ikea'yı bekliyor...ikea ankara'yı!,Ekşi Sözlük
leaves dancing in the breeze,01.02.2010 11:46,IKEA Genel,"limon sıkacağı olmayan yaşam destek mağazası. sen kalk koskoca, 29 bin metrekarelik mağaza yap, bir sürü ıvırı zıvırı koy içine ama bir tane limon sıkacağı olmasın. olacak şey değil, ha bi alet vardı böyle topuz gibi bişi ama onu saymıyorum, limonun çekirdeğini ayıklamadıktan sonra elimle sıkarım daha iyi.
kaldım yine annemin vapurdan aldığı 1 liralık içi oyuk vidalı gibi limon sıkacağına yine.
kendime not: haftaya ilk iş pazardan bi limon sıkacağı almak.",Ekşi Sözlük
